s,A(s)/h (GHz),B(s)/h (GHz),C (normalized)
0.563,0.3706430,3.9837320,0.5276478
0.564,0.3666259,3.9960610,0.5282368
0.565,0.3626088,4.0084090,0.5288258
0.566,0.3585917,4.0207760,0.5294147
0.567,0.3545746,4.0331620,0.5300037
0.568,0.3506755,4.0455680,0.5305999
0.569,0.3467885,4.0579920,0.5311967
0.570,0.3429863,4.0704350,0.5317988
0.571,0.3392309,4.0828980,0.5324036
0.572,0.3354756,4.0953790,0.5330085
0.573,0.3317203,4.1078800,0.5336133
0.574,0.3279650,4.1203990,0.5342182
0.575,0.3242097,4.1329380,0.5348230
0.576,0.3204543,4.1454960,0.5354279
0.577,0.3166990,4.1580720,0.5360328
0.578,0.3129979,4.1706680,0.5366411
0.579,0.3093824,4.1832830,0.5372550
0.580,0.3057934,4.1959170,0.5378705
0.581,0.3023165,4.2085700,0.5384933
0.582,0.2988396,4.2212420,0.5391161
0.583,0.2953627,4.2339330,0.5397388
0.584,0.2918858,4.2466430,0.5403616
0.585,0.2884090,4.2593720,0.5409844
0.586,0.2849321,4.2721200,0.5416072
0.587,0.2814552,4.2848870,0.5422299
0.588,0.2779995,4.2976730,0.5428542
0.589,0.2746456,4.3104790,0.5434853
0.590,0.2712962,4.3233030,0.5441168
0.591,0.2680672,4.3361460,0.5447564
0.592,0.2648383,4.3490090,0.5453961
0.593,0.2616093,4.3618900,0.5460357
0.594,0.2583804,4.3747910,0.5466754
0.595,0.2551514,4.3877100,0.5473150
0.596,0.2519224,4.4006490,0.5479547
0.597,0.2486935,4.4136070,0.5485943
0.598,0.2454948,4.4265840,0.5492362
0.599,0.2423996,4.4395790,0.5498855
0.600,0.2393254,4.4525940,0.5505364
0.601,0.2363672,4.4656280,0.5511956
0.602,0.2334089,4.4786810,0.5518548
0.603,0.2304506,4.4917530,0.5525141
0.604,0.2274923,4.5048440,0.5531733
0.605,0.2245341,4.5179540,0.5538325
0.606,0.2215758,4.5310830,0.5544917
